,BlockAddress,City,Complaint_ID,CrimeDescription,CrimeStatus,Crime_ID,District,Latitude,LevelofOffense,Longitude,NumOfActors,NumOfVictims,Premises,ReportDate,State,Timestamp
43,Sir Syed�,Karachi,781235.0,Theft,COMPLETED,,District Central,24.9149176392,FELONY,67.0941951031,5,6,STREET,05/21/2014,Sindh,2014-04-07 06:00:00
44,Gazdarabad ,Karachi,307774.0,Terrorism,COMPLETED,,District South,24.8776780715,MISDEMEANOR,67.0282744963,5,4,RESIDENCE,05/19/2015,Sindh,2015-05-16 22:00:00
45,Manzoor Colony,Karachi,592027.0,Assault,COMPLETED,,District East,24.8592123379,MISDEMEANOR,67.0879751016,7,9,RESIDENCE,09/30/2014,Sindh,2014-09-30 09:30:00
46,Gulshan-E-Iqbal I�,Karachi,211378.0,Burglary,COMPLETED,,District East,24.9204870661,FELONY,67.1219019113,3,7,PUBLIC BUILDING,07/27/2015,Sindh,2015-07-27 07:45:00
47,Muslimabad,Karachi,237184.0,Car Stolen,COMPLETED,,District Korangi,24.9331356347,MISDEMEANOR,66.9798313929,3,4,STREET,07/09/2015,Sindh,2015-07-09 02:40:00
48,Bhutto Nagar�,Karachi,477979.0,Theft,COMPLETED,,District Korangi,24.9633894589,MISDEMEANOR,67.134889864,5,9,STREET,12/29/2014,Sindh,2014-12-25 08:00:00
49,Burmi Colony�,Karachi,863843.0,Theft,ATTEMPTED,,District Korangi,24.841911814,MISDEMEANOR,67.1698306068,7,5,OTHER,03/20/2014,Sindh,2014-03-20 15:50:00
50,Bhutta Village,Karachi,823741.0,Terrorism,COMPLETED,,District South,24.81819898,MISDEMEANOR,66.9899206921,3,4,RESIDENCE,04/20/2014,Sindh,2014-04-19 21:47:00
51,Gazdarabad ,Karachi,848214.0,Assault,COMPLETED,,District South,24.8723483727,VIOLATION,67.0036059751,6,9,PUBLIC BUILDING,04/01/2014,Sindh,2014-04-01 16:00:00
52,Kala Board,Karachi,983107.0,Narcotics,COMPLETED,,District Malir,24.8803614499,MISDEMEANOR,67.1660403492,5,8,OTHER,12/15/2013,Sindh,2013-12-14 23:15:00
53,Gujro,Karachi,691616.0,Theft,COMPLETED,,District Malir,24.9328159252,MISDEMEANOR,67.1072413004,3,4,HOSPITAL/ CLINIC,07/23/2014,Sindh,2014-07-22 16:00:00
54,Awami Colony,Karachi,634067.0,Terrorism,COMPLETED,,District Korangi,24.8488961026,MISDEMEANOR,67.1285654028,3,6,STREET,09/01/2014,Sindh,2014-08-31 19:00:00
55,Clifton ,Karachi,831740.0,Assault,COMPLETED,,District South,24.829641278,FELONY,67.039616269,5,5,RESIDENCE,04/13/2014,Sindh,2014-04-13 22:50:00
56,Gadap,Karachi,329443.0,Assault,COMPLETED,,District Malir,25.0062000549,FELONY,67.1359066814,4,5,STREET,05/03/2015,Sindh,2015-05-03 00:30:00
57,Bhutta Village,Karachi,488836.0,Car Stolen,COMPLETED,,District South,24.8258513297,FELONY,67.005275862,5,8,STREET,12/18/2014,Sindh,2014-12-18 01:00:00
58,Gharibabad,Karachi,794085.0,Terrorism,COMPLETED,,District Malir,24.9059308867,MISDEMEANOR,67.057005292,2,9,BEACH,05/12/2014,Sindh,2014-05-04 08:00:00
59,Central Jacob Lines,Karachi,12392.0,Terrorism,COMPLETED,,District East,24.8371550442,MISDEMEANOR,67.0693401921,6,4,STREET,12/21/2015,Sindh,2015-12-20 18:00:00
60,Farooq-e-Azam,Karachi,19186.0,Assault,COMPLETED,,District Central,24.9383683449,VIOLATION,67.0514098448,4,8,SUPERMARKET/ STORE,12/15/2015,Sindh,2015-12-15 19:00:00
61,Agra Taj Colony,Karachi,163345.0,Theft,COMPLETED,,District South,24.8778863873,MISDEMEANOR,66.9886003409,2,2,STREET,08/29/2015,Sindh,2015-08-29 08:00:00
62,Songal,Karachi,107089.0,Vandalism,COMPLETED,,District Malir,24.9401575741,MISDEMEANOR,67.1118875153,2,2,STREET,10/09/2015,Sindh,2015-10-09 13:45:00
63,Kemari ,Karachi,69024.0,Theft,COMPLETED,,District South,24.8789491907,MISDEMEANOR,66.8142715285,7,6,STREET,11/07/2015,Sindh,2015-11-01 12:00:00
64,Drigue Colony,Karachi,895670.0,Theft,COMPLETED,,District Korangi,24.8785445864,FELONY,67.1434486627,3,5,RESIDENCE,02/24/2014,Sindh,2014-02-23 23:00:00
65,Kharadar ,Karachi,634070.0,Terrorism,COMPLETED,,District South,24.8527653402,MISDEMEANOR,66.9925812794,4,4,RESIDENCE,09/01/2014,Sindh,2014-08-31 18:30:00
66,Delhi Mercentile Society,Karachi,548071.0,Theft,COMPLETED,,District East,24.8860560619,MISDEMEANOR,67.0838299014,4,4,SUPERMARKET/ STORE,10/31/2014,Sindh,2014-10-31 13:15:00
67,Qasiambad�,Karachi,763895.0,Rape,COMPLETED,,District Central,24.8917362137,MISDEMEANOR,67.0616142812,6,7,RESIDENCE,06/02/2014,Sindh,2014-06-02 00:01:00
68,Rehri,Karachi,117711.0,Terrorism,COMPLETED,,District Malir,24.831759906,MISDEMEANOR,67.213782376,3,9,STREET,10/01/2015,Sindh,2015-10-01 10:44:00
69,Aisha Manzil,Karachi,242961.0,Assault,COMPLETED,,District Central,24.9225777465,VIOLATION,67.0833996961,6,6,RESTAURANT/DINER,07/05/2015,Sindh,2015-07-05 03:00:00
70,Sultanabad ,Karachi,536617.0,Terrorism,COMPLETED,,District South,24.8447412333,MISDEMEANOR,67.0176245984,2,1,PUBLIC BUILDING,11/09/2014,Sindh,2014-11-09 00:01:00
71,Chanesar Goth,Karachi,773922.0,Assault,COMPLETED,,District East,24.8438066826,FELONY,67.0576308715,6,5,STREET,05/26/2014,Sindh,2014-05-26 02:19:00
72,Karimabad�,Karachi,434080.0,Theft,COMPLETED,,District Central,24.9064388541,MISDEMEANOR,67.0519598371,3,4,GYM/FITNESS FACILITY,02/07/2015,Sindh,2015-02-06 16:35:00
73,Model Colony,Karachi,659688.0,Theft,COMPLETED,,District Malir,24.9071103399,MISDEMEANOR,67.1734282784,2,4,MALL,08/14/2014,Sindh,2014-08-13 18:10:00
74,Manzoor Colony,Karachi,219195.0,Terrorism,COMPLETED,,District East,24.8587840966,MISDEMEANOR,67.0911147728,7,6,STREET,07/22/2015,Sindh,2015-07-21 21:53:00
75,Ragiwara ,Karachi,329477.0,Terrorism,COMPLETED,,District South,24.8721681902,MISDEMEANOR,67.0101587541,6,4,RESIDENCE,05/03/2015,Sindh,2015-05-03 00:00:00
76,Jamil Colony,Karachi,88134.0,Assault,COMPLETED,,District East,24.8790936341,FELONY,67.0678941555,2,5,RESIDENCE,10/23/2015,Sindh,2015-10-23 12:20:00
77,Metrovill,Karachi,342370.0,Assault,COMPLETED,,District East,24.9048509514,VIOLATION,66.9964015027,4,8,OTHER,04/23/2015,Sindh,2015-04-23 07:50:00
78,Khokarapar ,Karachi,602420.0,Terrorism,COMPLETED,,District Malir,24.8948427146,MISDEMEANOR,67.2158565239,6,5,RESIDENCE,09/23/2014,Sindh,2014-09-18 16:00:00
79,Ghaziabad,Karachi,371462.0,Burglary,COMPLETED,,District West,24.9634717313,FELONY,66.9903628691,5,1,RESIDENCE,04/01/2015,Sindh,2015-03-31 15:00:00
80,Machar Colony,Karachi,9592.0,Assault,COMPLETED,,District South,24.8682603326,VIOLATION,66.9757934347,5,8,HOTEL/MOTEL,12/23/2015,Sindh,2015-12-23 06:30:00
81,Metrovill,Karachi,636585.0,Corruption and Bribery,COMPLETED,,District East,24.9039624345,MISDEMEANOR,67.0008196905,2,7,STREET,08/29/2014,Sindh,2014-08-29 16:15:00
82,Essa Nagri,Karachi,890512.0,Assault,ATTEMPTED,,District East,24.8977913874,FELONY,67.0790186761,3,7,STREET,02/28/2014,Sindh,2014-02-28 03:30:00
83,PechsII�,Karachi,662452.0,Robbery,COMPLETED,,District East,24.9026478605,FELONY,67.0453727212,2,9,STREET,08/12/2014,Sindh,2014-08-11 22:40:00
84,Hasrat Mohani Colony,Karachi,326673.0,Assault,COMPLETED,,District Korangi,24.9113599153,VIOLATION,67.0166995675,2,3,RESIDENCE,05/05/2015,Sindh,2015-05-05 08:30:00
85,Darsano Chana,Karachi,492081.0,Theft,COMPLETED,,District Malir,24.911009998,MISDEMEANOR,67.2680511298,6,3,SUPERMARKET/ STORE,12/15/2014,Sindh,2014-12-15 21:40:00
86,Ragiwara ,Karachi,856174.0,Assault,COMPLETED,,District South,24.8789592957,VIOLATION,67.0082318824,5,7,STREET,03/26/2014,Sindh,2014-03-26 07:30:00
87,Reta Plot,Karachi,794546.0,Assault,COMPLETED,,District Korangi,24.8730505613,MISDEMEANOR,67.1571497624,3,2,RESIDENCE,05/11/2014,Sindh,2014-05-11 16:16:00
88,Mominabad,Karachi,824766.0,Car Stolen,COMPLETED,,District West,24.9219664223,MISDEMEANOR,66.9734571004,5,3,STREET,04/19/2014,Sindh,2014-04-19 01:30:00
89,Cattle Colony,Karachi,670000.0,Theft,COMPLETED,,District Malir,24.8222746418,MISDEMEANOR,67.2816061644,7,5,PARK/PLAYGROUND,08/07/2014,Sindh,2014-07-22 17:00:00
90,Gulshan-E-Iqbal I�,Karachi,842242.0,Theft,COMPLETED,,District East,24.9258139225,MISDEMEANOR,67.1336323957,2,4,RESIDENCE,04/06/2014,Sindh,2014-03-28 00:00:00
91,Ancholi�,Karachi,404217.0,Car Stolen,COMPLETED,,District Central,24.9475438419,FELONY,67.0990430156,6,3,STREET,03/05/2015,Sindh,2015-03-05 17:36:00
92,Baloch Goth,Karachi,127278.0,Theft,COMPLETED,,District West,24.9419763544,MISDEMEANOR,67.0360955863,2,8,STREET,09/24/2015,Sindh,2015-09-24 00:01:00
93,Khawaja Ajmer Nagri�,Karachi,555932.0,Burglary,COMPLETED,,District Korangi,25.0067300217,FELONY,67.0498046121,6,6,RESIDENCE,10/26/2014,Sindh,2014-10-19 18:00:00
94,City Railway Station,Karachi,273624.0,Theft,COMPLETED,,District South,24.8475632491,MISDEMEANOR,66.9926226185,7,1,PARKING LOT/GARAGE,06/13/2015,Sindh,2015-06-12 19:00:00
95,Gulshan-E-Hadeed ,Karachi,859969.0,Terrorism,COMPLETED,,District Malir,24.8726670991,MISDEMEANOR,67.3516426967,6,5,OTHER,03/23/2014,Sindh,2014-03-23 04:30:00
96,Ancholi�,Karachi,320663.0,Corruption and Bribery,COMPLETED,,District Central,24.947476545,FELONY,67.0900719447,3,9,STREET,05/09/2015,Sindh,2015-05-09 20:00:00
97,Korangi Sector,Karachi,391009.0,Theft,COMPLETED,,District Korangi,24.8320559035,MISDEMEANOR,67.1344322507,2,3,STREET,03/16/2015,Sindh,2015-03-16 06:20:00
98,Gujro,Karachi,520344.0,Theft,COMPLETED,,District Malir,24.9248406021,MISDEMEANOR,67.101589111,7,2,PUBLIC BUILDING,11/22/2014,Sindh,2014-10-30 14:49:00
99,Rifah Aam�,Karachi,454400.0,Robbery,COMPLETED,,District Korangi,24.8915459147,FELONY,67.183085677,5,2,RESIDENCE,01/19/2015,Sindh,2015-01-19 22:30:00
100,Nawabad ,Karachi,297368.0,Assault,COMPLETED,,District South,24.8650493581,MISDEMEANOR,66.9927223002,6,1,PARK/PLAYGROUND,05/26/2015,Sindh,2015-05-26 19:30:00
101,Gharibabad,Karachi,238416.0,Theft,COMPLETED,,District Malir,24.9139520657,MISDEMEANOR,67.038401834,6,5,PARK/PLAYGROUND,07/08/2015,Sindh,2015-07-08 12:00:00
102,Awami Colony,Karachi,737381.0,Assault,COMPLETED,,District Korangi,24.8413665361,VIOLATION,67.1662618593,3,5,RESIDENCE,06/20/2014,Sindh,2014-06-20 18:00:00
103,Kehkashan ,Karachi,721414.0,Rape,COMPLETED,,District South,24.8332012712,MISDEMEANOR,67.0240580135,2,3,PARK/PLAYGROUND,07/02/2014,Sindh,2014-07-01 15:00:00
104,Nasir Colony,Karachi,333288.0,Theft,COMPLETED,,District Korangi,24.818320094,FELONY,67.1439641077,7,9,RESIDENCE,04/30/2015,Sindh,2015-04-29 21:30:00
105,100 Quarters,Karachi,410848.0,Theft,COMPLETED,,District Korangi,24.9005136244,MISDEMEANOR,67.029393047,6,2,STREET,02/27/2015,Sindh,2015-02-27 17:10:00
106,Kharadar ,Karachi,422664.0,Theft,COMPLETED,,District South,24.8472226658,MISDEMEANOR,67.0117242526,4,4,STREET,02/17/2015,Sindh,2015-02-17 02:30:00
107,Azizabad,Karachi,62912.0,Theft,COMPLETED,,District Central,24.9214211169,MISDEMEANOR,67.0525182911,5,2,RESIDENCE,11/11/2015,Sindh,2015-11-11 18:30:00
108,Daud Colony,Karachi,503806.0,Corruption and Bribery,COMPLETED,,District Korangi,24.9535477023,FELONY,66.9288457293,2,2,RESIDENCE,12/05/2014,Sindh,2014-12-05 23:00:00
109,Pechs I,Karachi,479842.0,Terrorism,COMPLETED,,District East,24.8624663813,MISDEMEANOR,67.0467468297,3,3,RESIDENCE,12/27/2014,Sindh,2014-12-26 20:00:00
110,Songal,Karachi,934335.0,Theft,ATTEMPTED,,District Malir,24.934698183,MISDEMEANOR,67.0991979907,4,6,SUPERMARKET/ STORE,01/23/2014,Sindh,2014-01-23 13:00:00
111,Saddar ,Karachi,611962.0,Assault,COMPLETED,,District South,24.8460313137,FELONY,67.0109534278,7,5,SUPERMARKET/ STORE,09/16/2014,Sindh,2014-09-16 14:00:00
112,Agra Taj Colony,Karachi,337938.0,Assault,COMPLETED,,District South,24.8739488009,VIOLATION,66.9958122727,5,9,RESIDENCE,04/26/2015,Sindh,2015-04-26 21:00:00
113,Jut Line,Karachi,540984.0,Theft,COMPLETED,,District East,24.8720233089,MISDEMEANOR,67.0529542676,3,6,PUBLIC BUILDING,11/06/2014,Sindh,2014-09-17 13:50:00
114,Drigue Colony,Karachi,696251.0,Narcotics,COMPLETED,,District Korangi,24.8958550606,MISDEMEANOR,67.1342968804,2,1,STREET,07/19/2014,Sindh,2014-07-19 23:20:00
115,Saeedabad,Karachi,878716.0,Assault,COMPLETED,,District West,24.9112526097,VIOLATION,66.9755111292,5,1,PARKING LOT/GARAGE,03/09/2014,Sindh,2014-03-09 13:45:00
116,Gulshan-E-Iqbal II,Karachi,518464.0,Theft,COMPLETED,,District East,24.9184122524,FELONY,67.0903433879,2,9,UNDERPASS,11/23/2014,Sindh,2014-11-23 07:40:00
117,Jamshed Quarter,Karachi,622648.0,Theft,COMPLETED,,District East,24.8789536617,MISDEMEANOR,67.0629685824,2,1,PUBLIC BUILDING,09/09/2014,Sindh,2014-08-28 15:30:00
118,Yousuf Goth ,Karachi,377296.0,Terrorism,COMPLETED,,District Malir,24.9561717789,MISDEMEANOR,66.9370135225,3,4,RESIDENCE,03/27/2015,Sindh,2015-03-27 04:00:00
119,Allama Iqbal Colony,Karachi,908202.0,Theft,COMPLETED,,District South,24.8488969345,FELONY,67.0673999692,4,4,RESIDENCE,02/14/2014,Sindh,2014-01-10 09:00:00
120,Civic Centre,Karachi,102080.0,Corruption and Bribery,COMPLETED,,District East,24.9034176427,FELONY,67.0859625144,3,5,RESIDENCE,10/13/2015,Sindh,2015-10-13 08:55:00
121,Soldier Bazar,Karachi,53308.0,Robbery,COMPLETED,,District East,24.8865854939,FELONY,67.0351883912,3,6,HOTEL/MOTEL,11/19/2015,Sindh,2015-11-15 05:00:00
122,Jut Line,Karachi,399946.0,Robbery,COMPLETED,,District East,24.8672335373,FELONY,67.0573157757,5,4,RESIDENCE,03/09/2015,Sindh,2015-03-09 08:00:00
123,Akhtar Colony,Karachi,60449.0,Assault,COMPLETED,,District East,24.8430359682,VIOLATION,67.0838500841,7,2,RESIDENCE,11/13/2015,Sindh,2015-11-13 13:00:00
124,Shershah ,Karachi,947235.0,Theft,COMPLETED,,District South,24.8813914677,MISDEMEANOR,66.9990197456,6,8,SUPERMARKET/ STORE,01/13/2014,Sindh,2014-01-13 13:00:00
125,Gharibabad,Karachi,153258.0,Theft,COMPLETED,,District Malir,24.9006629065,MISDEMEANOR,67.0618216314,7,1,STREET,09/05/2015,Sindh,2015-09-05 13:00:00
126,Yousuf Goth ,Karachi,31382.0,Burglary,COMPLETED,,District Malir,24.9503304802,FELONY,66.9471228424,4,9,RESIDENCE,12/06/2015,Sindh,2015-12-06 17:00:00
127,Gulzar Colony,Karachi,874987.0,Car Stolen,COMPLETED,,District Korangi,24.845905789,MISDEMEANOR,67.1386471374,3,7,STREET,03/12/2014,Sindh,2014-03-12 06:30:00
128,Karimabad�,Karachi,501758.0,Assault,COMPLETED,,District Central,24.9085363022,VIOLATION,67.0681535801,4,3,GYM/FITNESS FACILITY,12/07/2014,Sindh,2014-12-07 20:00:00
129,Songal,Karachi,903970.0,Theft,COMPLETED,,District Malir,24.94781738,FELONY,67.0852410988,3,1,PUBLIC TRANSPORT,02/18/2014,Sindh,2013-07-21 00:07:00
130,Nazimabad No.01,Karachi,301617.0,Terrorism,COMPLETED,,District Central,24.947261785,MISDEMEANOR,67.0370687114,2,1,STREET,05/23/2015,Sindh,2015-05-23 11:30:00
131,100 Quarters,Karachi,204562.0,Terrorism,COMPLETED,,District Korangi,24.8866073527,MISDEMEANOR,67.0330973532,2,2,STREET,08/01/2015,Sindh,2015-07-31 23:00:00
132,Songal,Karachi,648899.0,Terrorism,COMPLETED,,District Malir,24.947385631,FELONY,67.0880360884,4,6,RESIDENCE,08/21/2014,Sindh,2014-08-21 09:00:00
133,Mujahid Colony,Karachi,38012.0,Theft,COMPLETED,,District Central,24.927348931,MISDEMEANOR,66.9885408636,5,2,RESIDENCE,12/01/2015,Sindh,2015-12-01 13:45:00
134,Nai Abbadi,Karachi,267252.0,Corruption and Bribery,COMPLETED,,District West,30.9009481993,FELONY,72.6993983711,6,7,RESIDENCE,06/17/2015,Sindh,2015-06-17 16:03:00
135,Yousuf Goth ,Karachi,264846.0,Assault,COMPLETED,,District Malir,24.9467983997,VIOLATION,66.9340763834,3,6,HOTEL/MOTEL,06/19/2015,Sindh,2015-06-19 02:00:00
136,Korangi,Karachi,397256.0,Theft,COMPLETED,,District Korangi,24.8355678885,MISDEMEANOR,67.1428447736,7,7,PUBLIC BUILDING,03/11/2015,Sindh,2015-03-11 10:20:00
137,Gillani Railway Station,Karachi,453531.0,Terrorism,COMPLETED,,District East,24.8991049584,MISDEMEANOR,67.068129469,6,1,RESIDENCE,01/20/2015,Sindh,2015-01-20 13:00:00
138,Kehkashan ,Karachi,343393.0,Theft,COMPLETED,,District South,24.8261156287,FELONY,67.0172134498,7,7,RESIDENCE,04/22/2015,Sindh,2015-04-22 15:15:00
139,Civic Centre,Karachi,64606.0,Assault,COMPLETED,,District East,24.8964039367,VIOLATION,67.0712401276,4,2,OTHER,11/10/2015,Sindh,2015-11-10 09:35:00
140,Khawaja Ajmer Nagri�,Karachi,402459.0,Assault,COMPLETED,,District Korangi,25.0048730441,FELONY,67.0751803872,6,8,STREET,03/07/2015,Sindh,2015-03-07 01:30:00
141,Rehri,Karachi,220632.0,Terrorism,COMPLETED,,District Malir,24.8350174511,MISDEMEANOR,67.2159640572,3,4,RESTAURANT/DINER,07/21/2015,Sindh,2015-07-20 23:40:00
142,Paposh Nagar,Karachi,502430.0,Theft,COMPLETED,,District Central,24.9241753979,MISDEMEANOR,67.0401205258,7,4,PUBLIC TRANSPORT,12/07/2014,Sindh,2014-12-06 23:30:00
143,Soldier Bazar,Karachi,490836.0,Terrorism,COMPLETED,,District East,24.8815067633,MISDEMEANOR,67.0202176205,2,4,STREET,12/16/2014,Sindh,2014-12-16 20:00:00
