Country,EventId,City,Date,Time,fir_filled_against_report,fir_number,Postal_zipcode,Latitude,Longitude,Street_name,assaliants,ocassion,target,witnesses,Injured,casualties,description,weapon_use,shooting,crime_type,Hour,Year,Month,Day
Pakistan,KHI-3304,Karachi,4/22/2017,2:46 PM,Yes,38927,74900,31.4445793,74.3834812,"Atta Bakhsh Road, Lahore, Pakistan",2,Public Holiday,Govt Agency,5,5,4,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Yes,Yes,Kidnapping,14,2017,4,Sat
Pakistan,KHI-3305,Karachi,6/6/2012,10:40 PM,No,NA,75500,31.4849199,74.3206478,"Block A Bus Stop, Model Town Circular Road, Lahore, Pakistan",3,Public Holiday,Govt Agency,1,1,8,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",No,Yes,Kidnapping,22,2012,6,Wed
Pakistan,KHI-3306,Karachi,4/27/2016,1:41 AM,Yes,27691,75500,31.5436478,74.4026944,"15 Bahar Shah Road, Lahore, Pakistan",3,Public Holiday,Govt Agency,8,3,2,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Yes,Yes,Kidnapping,1,2016,4,Wed
Pakistan,KHI-3307,Karachi,10/23/2012,3:59 AM,Yes,96906,75500,31.5055928,74.3462838,"Block C3, Lahore, Pakistan",10,Public Holiday,Govt Agency,7,6,8,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",No,Yes,Snatching,3,2012,10,Tues
Pakistan,KHI-3308,Karachi,6/11/2014,12:52 PM,Yes,57188,75500,31.4439978,74.2656164,"Airline Society, Lahore, Pakistan",5,Public Holiday,Govt Agency,9,9,2,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Yes,Yes,Assualt,12,2014,6,Wed
Pakistan,KHI-3309,Karachi,3/2/2015,5:30 PM,Yes,64399,75500,31.4771032,74.3371878,"188/h Model Town, Lahore, Pakistan",6,Public Holiday,Govt Agency,4,10,8,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Yes,Yes,Hit and Run,17,2015,3,Mon
Pakistan,KHI-3310,Karachi,5/11/2014,11:20 AM,Yes,93339,74900,31.5643973,74.2903778,"89 Abdali Road, Lahore 54000, Pakistan",6,Public Holiday,Govt Agency,3,8,9,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Yes,Yes,Assualt,11,2014,5,Sun
Pakistan,KHI-3311,Karachi,5/9/2012,10:47 PM,Yes,92848,74900,31.4198278,74.2643743,"Chashma Road, Lahore, Pakistan",1,Public Holiday,Govt Agency,8,4,9,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,No,Yes,Kidnapping,22,2012,5,Wed
Pakistan,KHI-3312,Karachi,8/21/2015,10:35 PM,No,NA,75500,31.4970424,74.3064129,"Brick Soling, University of The Punjab, Lahore, Pakistan",1,Public Holiday,Govt Agency,9,5,8,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Yes,Yes,Kidnapping,22,2015,8,Fri
Pakistan,KHI-3313,Karachi,1/1/2013,2:11 AM,Yes,4962,75500,31.4576108,74.3872224,"250 GG Street 12, Lahore, Pakistan",9,Public Holiday,Govt Agency,1,3,6,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",No,No,Assualt,2,2013,1,Tues
Pakistan,KHI-3314,Karachi,5/19/2013,5:49 PM,Yes,49283,75500,31.4849199,74.3206478,"Block A Bus Stop, Model Town Circular Road, Lahore, Pakistan",8,Public Holiday,Govt Agency,5,4,3,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Yes,Yes,Kidnapping,17,2013,5,Sun
Pakistan,KHI-3315,Karachi,11/9/2015,8:37 PM,No,NA,74900,31.4677876,74.289073,"Channadin Road, Lahore, Pakistan",1,Public Holiday,Govt Agency,1,1,5,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Yes,Yes,Assualt,20,2015,11,Mon
Pakistan,KHI-3316,Karachi,4/16/2013,1:19 PM,Yes,45293,74200,31.5233636,74.3576476,"Block N, Lahore, Pakistan",7,Public Holiday,Govt Agency,8,1,9,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Yes,No,Mugging,13,2013,4,Tues
Pakistan,KHI-3317,Karachi,8/9/2016,7:15 AM,Yes,82468,74900,31.4913725,74.3141601,"188 Block D-1, Lahore, Pakistan",8,Public Holiday,Govt Agency,9,2,7,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Yes,Yes,Assualt,7,2016,8,Tues
Pakistan,KHI-3318,Karachi,6/9/2016,2:20 AM,No,NA,75500,31.4325715,74.2147043,"391 D Block, Lahore, Pakistan",10,Public Holiday,Govt Agency,10,4,9,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",No,No,Kidnapping,2,2016,6,Thurs
Pakistan,KHI-3319,Karachi,6/6/2013,2:24 AM,Yes,95233,74200,31.5419753,74.3568447,"Anand Road, Lahore, Pakistan",4,Public Holiday,Govt Agency,8,9,3,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",No,Yes,Mugging,2,2013,6,Thurs
Pakistan,KHI-3320,Karachi,5/19/2012,1:32 PM,No,NA,75500,31.4164104,74.1890024,"Block H, Lahore, Pakistan",2,Public Holiday,Govt Agency,2,8,5,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Yes,Yes,Snatching,13,2012,5,Sat
Pakistan,KHI-3321,Karachi,9/7/2012,5:36 PM,Yes,92995,75500,31.5879017,74.3439009,"Chah Miran, Chah Miran Market, Lahore, Pakistan",3,Public Holiday,Govt Agency,2,10,3,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Yes,Yes,Snatching,17,2012,9,Fri
Pakistan,KHI-3322,Karachi,1/17/2015,2:20 AM,Yes,97480,75500,31.4359836,74.3092745,"Al Hadi School Street, Lahore, Pakistan",4,Public Holiday,Govt Agency,2,10,6,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",Yes,Yes,Assualt,2,2015,1,Sat
Pakistan,KHI-3323,Karachi,7/6/2014,4:38 PM,Yes,89220,75500,31.4690534,74.2699036,"Abdul Haque Road, Lahore, Pakistan",2,Public Holiday,Govt Agency,4,3,3,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Yes,Yes,Assualt,16,2014,7,Sun
Pakistan,KHI-3324,Karachi,11/7/2012,10:16 AM,Yes,39967,74200,31.4500491,74.2718969,"95 Johar Town, Lahore, Pakistan",3,Public Holiday,Govt Agency,2,9,4,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Yes,No,Assualt,10,2012,11,Wed
Pakistan,KHI-3325,Karachi,12/25/2013,5:32 PM,Yes,61016,74900,31.4569902,74.2710033,"117 A Lane 6, Lahore, Pakistan",2,Public Holiday,Govt Agency,8,6,8,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,No,Yes,Kidnapping,17,2013,12,Wed
Pakistan,KHI-3326,Karachi,3/6/2012,5:21 PM,No,NA,75500,31.3997524,74.3548411,"19 Green Cap Road, Lahore, Pakistan",4,Public Holiday,Govt Agency,1,9,3,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Yes,Yes,Assualt,17,2012,3,Tues
Pakistan,KHI-3327,Karachi,9/22/2012,10:45 PM,Yes,85429,74200,31.4744893,74.2978877,"Board of Revenue Housing Society, Lahore, Pakistan",9,Public Holiday,Govt Agency,4,2,8,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Yes,Yes,Assualt,22,2012,9,Sat
Pakistan,KHI-3328,Karachi,1/10/2012,6:03 AM,Yes,91890,74200,31.5192296,74.3150633,"6 - Wahdat Link Road, Lahore 54600, Pakistan",8,Public Holiday,Govt Agency,4,8,5,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Yes,No,Assualt,6,2012,1,Tues
Pakistan,KHI-3329,Karachi,11/26/2012,8:13 AM,Yes,81419,74900,31.4628963,74.284226,"644 Service Road, Lahore 54000, Pakistan",3,Public Holiday,Govt Agency,5,3,1,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",No,Yes,Assualt,8,2012,11,Mon
Pakistan,KHI-3330,Karachi,12/28/2013,12:02 AM,Yes,94546,74900,31.4399435,74.2898056,"Ali Multaza Road, Lahore, Pakistan",3,Public Holiday,Govt Agency,9,7,1,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,No,Yes,Kidnapping,0,2013,12,Sat
Pakistan,KHI-3331,Karachi,6/26/2013,1:44 AM,Yes,51432,74900,31.5714712,74.4053449,"Bazar Wali Gali, Lahore, Pakistan",9,Public Holiday,Govt Agency,6,10,8,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Yes,Yes,Assualt,1,2013,6,Wed
Pakistan,KHI-3332,Karachi,10/19/2014,1:24 AM,Yes,27598,75500,31.533304,74.3834755,"11 Rose Lane, Lahore, Pakistan",2,Public Holiday,Govt Agency,10,3,9,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Yes,Yes,Assualt,1,2014,10,Sun
Pakistan,KHI-3333,Karachi,2/2/2016,7:43 AM,Yes,2533,75500,31.445223,74.2976913,"148-1-CI Block 1 Sector C-1, Lahore, Pakistan",6,Public Holiday,Govt Agency,7,3,9,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Yes,Yes,Hit and Run,7,2016,2,Tues
Pakistan,KHI-3334,Karachi,3/31/2016,12:35 AM,Yes,77757,74900,31.4164104,74.1890024,"Block H, Lahore, Pakistan",1,Public Holiday,Govt Agency,4,2,9,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",No,Yes,Kidnapping,0,2016,3,Thurs
Pakistan,KHI-3335,Karachi,5/2/2014,12:21 AM,Yes,3196,74200,31.4650009,74.3550373,"Amar Sidhu, Lahore, Pakistan",4,Public Holiday,Govt Agency,1,5,9,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,No,Yes,Assualt,0,2014,5,Fri
Pakistan,KHI-3336,Karachi,1/23/2013,10:50 AM,Yes,97611,74900,31.5802931,74.3011878,"Bilal Ganj, Lahore, Pakistan",5,Public Holiday,Govt Agency,2,9,5,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Yes,Yes,Kidnapping,10,2013,1,Wed
Pakistan,KHI-3337,Karachi,10/28/2012,4:30 AM,No,NA,74900,31.5113428,74.3477501,"Block C2, Lahore, Pakistan",4,Public Holiday,Govt Agency,2,1,5,Fusce consequat. Nulla nisl. Nunc nisl.,No,Yes,Snatching,4,2012,10,Sun
Pakistan,KHI-3338,Karachi,9/2/2016,9:12 PM,Yes,11672,74200,31.5078863,74.3594597,"Academy Road, Lahore, Pakistan",3,Public Holiday,Govt Agency,5,1,1,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",No,Yes,Kidnapping,21,2016,9,Fri
Pakistan,KHI-3339,Karachi,12/8/2013,4:48 PM,Yes,31670,74900,31.4572562,74.3074893,"Barkat Chowk, Abu Bakar Road, Lahore, Pakistan",10,Public Holiday,Govt Agency,9,2,2,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",No,Yes,Kidnapping,16,2013,12,Sun
Pakistan,KHI-3340,Karachi,7/23/2015,4:13 AM,Yes,11960,74200,31.4599664,74.3653007,"46-E Ghazi Road, Lahore, Pakistan",8,Public Holiday,Govt Agency,9,9,2,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Yes,Yes,Assualt,4,2015,7,Thurs
Pakistan,KHI-3341,Karachi,1/21/2012,7:10 AM,Yes,85962,75500,31.467654,74.30868,"779D Maulana Shaukat Ali Road, Lahore, Pakistan",6,Public Holiday,Govt Agency,1,6,6,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Yes,No,Assualt,7,2012,1,Sat
Pakistan,KHI-3342,Karachi,4/20/2016,11:31 AM,Yes,19202,75500,31.5297463,74.3650442,"19-A Park Lane, Lahore, Pakistan",7,Public Holiday,Govt Agency,4,9,6,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Yes,Yes,Assualt,11,2016,4,Wed
Pakistan,KHI-3343,Karachi,2/16/2013,10:03 PM,Yes,68440,75500,31.5780863,74.3634061,"BegumPura, Lahore, Pakistan",4,Public Holiday,Govt Agency,6,10,10,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Yes,Yes,Assualt,22,2013,2,Sat
Pakistan,KHI-3344,Karachi,6/26/2015,3:21 AM,Yes,95454,75500,31.5655499,74.2875226,"Ansari Road, Lahore, Pakistan",7,Public Holiday,Govt Agency,5,4,9,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Yes,No,Hit and Run,3,2015,6,Fri
Pakistan,KHI-3345,Karachi,6/11/2016,3:31 PM,Yes,79690,75500,31.5496901,74.4041953,"Al-Faisal Town, Lahore, Pakistan",3,Public Holiday,Govt Agency,6,5,4,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Yes,Yes,Kidnapping,15,2016,6,Sat
Pakistan,KHI-3346,Karachi,12/16/2016,8:43 AM,Yes,30358,74200,31.4489032,74.3103546,"Civic Center, Lahore, Pakistan",4,Public Holiday,Govt Agency,4,1,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Yes,Yes,Assualt,8,2016,12,Fri
Pakistan,KHI-3347,Karachi,8/23/2012,8:43 AM,No,NA,75500,31.4881345,74.3224213,"Block D Bus Stop, Model Town Circular Road, Lahore, Pakistan",6,Public Holiday,Govt Agency,6,4,4,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Yes,Yes,Assualt,8,2012,8,Thurs
Pakistan,KHI-3348,Karachi,3/31/2013,2:51 AM,No,NA,74900,31.5954724,74.3096545,"Circular Road, Lahore, Pakistan",2,Public Holiday,Govt Agency,1,3,8,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",No,Yes,Assualt,2,2013,3,Sun
Pakistan,KHI-3349,Karachi,2/9/2012,8:42 AM,Yes,90294,75500,31.475909,74.3873369,"Charrar, Lahore, Pakistan",5,Public Holiday,Govt Agency,1,9,8,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Yes,No,Snatching,8,2012,2,Thurs
Pakistan,KHI-3350,Karachi,1/6/2015,11:14 AM,Yes,92763,74200,31.5212985,74.3430778,"123B Block B, Lahore, Pakistan",6,Public Holiday,Govt Agency,2,9,7,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,No,No,Assualt,11,2015,1,Tues
